sample_id,category,approx_age_years,condition,user_intention,powers_on,screen_condition,battery_condition,damage_severity,battery_swollen,battery_leaking,overheating_evidence,severe_physical_damage,is_safety_hazard,recommended_action
DEV-42-000001,CHARGER,1.4,DAMAGED,RECYCLE,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000002,DESKTOP,3.0,WORKING,REFURBISH,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,DONATE
DEV-42-000003,MOBILE_PHONE,3.4,DAMAGED,RECYCLE,YES,CRACKED,NORMAL,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000004,BATTERY,2.0,WORKING,REFURBISH_AND_SELL,NOT_APPLICABLE,NOT_APPLICABLE,NORMAL,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000005,TELEVISION,6.6,PARTIALLY_WORKING,RECYCLE,YES,INTACT,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000006,CHARGER,3.4,PARTIALLY_WORKING,DONATE,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,RECYCLE
DEV-42-000007,LAPTOP,2.9,PARTIALLY_WORKING,RECYCLE,YES,INTACT,NORMAL,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000008,MOBILE_PHONE,3.4,PARTIALLY_WORKING,KEEP_USING,NO,CRACKED,DEGRADED,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000009,TELEVISION,3.4,NOT_WORKING,DONATE,NO,CRACKED,NOT_APPLICABLE,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000010,DESKTOP,5.6,WORKING,RECYCLE,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,DONATE
DEV-42-000011,CHARGER,4.1,NOT_WORKING,RECYCLE,NO,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,RECYCLE
DEV-42-000012,REFRIGERATOR,9.2,WORKING,RECYCLE,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000013,MOBILE_PHONE,6.3,PARTIALLY_WORKING,REPAIR,YES,INTACT,NORMAL,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000014,LAPTOP,3.8,PARTIALLY_WORKING,REPAIR,NO,MINOR_SCRATCHES,DEGRADED,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000015,REFRIGERATOR,6.4,PARTIALLY_WORKING,UNSURE,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,REPAIR
DEV-42-000016,MOBILE_PHONE,1.8,DAMAGED,RECYCLE,NO,CRACKED,NORMAL,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000017,MOBILE_PHONE,1.4,WORKING,KEEP_USING,YES,MINOR_SCRATCHES,NORMAL,NONE,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000018,LAPTOP,4.4,PARTIALLY_WORKING,KEEP_USING,YES,CRACKED,NORMAL,NONE,False,False,False,False,False,RECYCLE
DEV-42-000019,MOUSE,1.3,PARTIALLY_WORKING,REPAIR,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000020,LAPTOP,2.9,PARTIALLY_WORKING,UNSURE,YES,INTACT,NORMAL,MINOR_COSMETIC,False,False,False,False,False,REPAIR
DEV-42-000021,CHARGER,2.0,PARTIALLY_WORKING,RECYCLE,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000022,MOBILE_PHONE,1.4,PARTIALLY_WORKING,REPAIR,YES,CRACKED,NORMAL,MODERATE,False,False,False,False,False,REPAIR
DEV-42-000023,DESKTOP,1.5,NOT_WORKING,REFURBISH_AND_SELL,NO,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000024,LAPTOP,3.3,WORKING,REFURBISH_AND_SELL,YES,MINOR_SCRATCHES,DEGRADED,NONE,False,False,False,False,False,DONATE
DEV-42-000025,TELEVISION,1.6,WORKING,REFURBISH_AND_SELL,YES,INTACT,NOT_APPLICABLE,NONE,False,False,False,False,False,KEEP_USING
DEV-42-000026,KEYBOARD,2.3,DAMAGED,RECYCLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000027,MOBILE_PHONE,2.2,PARTIALLY_WORKING,RECYCLE,NO,INTACT,NORMAL,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000028,TELEVISION,3.0,WORKING,REFURBISH_AND_SELL,YES,INTACT,NOT_APPLICABLE,NONE,False,False,False,False,False,KEEP_USING
DEV-42-000029,MOBILE_PHONE,2.0,HAZARDOUS,RECYCLE,NO,DEAD_PIXELS_BLEED,NORMAL,MODERATE,True,False,True,False,True,SPECIAL_HANDLING
DEV-42-000030,TELEVISION,8.9,WORKING,REPAIR,YES,INTACT,NOT_APPLICABLE,NONE,False,False,False,False,False,RECYCLE
DEV-42-000031,MOBILE_PHONE,0.9,WORKING,DONATE,YES,INTACT,NORMAL,NONE,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000032,MONITOR,9.2,NOT_WORKING,RECYCLE,NO,CRACKED,NOT_APPLICABLE,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000033,LAPTOP,1.3,WORKING,UNSURE,YES,MINOR_SCRATCHES,NORMAL,NONE,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000034,MOBILE_PHONE,4.2,DAMAGED,REFURBISH_AND_SELL,NO,MINOR_SCRATCHES,DEGRADED,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000035,MOBILE_PHONE,2.1,WORKING,DONATE,YES,INTACT,NORMAL,NONE,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000036,LAPTOP,4.4,PARTIALLY_WORKING,REFURBISH_AND_SELL,YES,CRACKED,DEGRADED,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000037,MOBILE_PHONE,2.5,NOT_WORKING,RECYCLE,NO,CRACKED,DEGRADED,NONE,False,False,False,False,False,RECYCLE
DEV-42-000038,KEYBOARD,4.4,DAMAGED,UNSURE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000039,DESKTOP,7.5,DAMAGED,RECYCLE,YES,NOT_APPLICABLE,NOT_APPLICABLE,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000040,MOBILE_PHONE,3.1,DAMAGED,KEEP_USING,YES,SHATTERED_NOT_WORKING,DEGRADED,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000041,LAPTOP,1.0,WORKING,REFURBISH,YES,INTACT,NORMAL,NONE,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000042,MONITOR,1.6,WORKING,REPAIR,YES,INTACT,NOT_APPLICABLE,NONE,False,False,False,False,False,KEEP_USING
DEV-42-000043,PRINTER,1.8,WORKING,REFURBISH_AND_SELL,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,KEEP_USING
DEV-42-000044,MOBILE_PHONE,10.0,NOT_WORKING,RECYCLE,NO,DEAD_PIXELS_BLEED,DEGRADED,MODERATE,False,False,False,False,False,RECYCLE
